source_key_ko,source_key_target,target_language,score,confidence,dist_m,title_ko,title_target,link_method
AttractionService:2587:ko,AttractionService:2587:zht,zht,100,high,0,대항 어항동 방파제 등대,在加德島海的盡頭相遇-大項漁港洞防波堤燈塔,same_id
AttractionService:2588:ko,AttractionService:2588:zht,zht,100,high,0,충무동 해안시장,融合海之氣味與人聲鼎沸──忠武洞海岸市場,same_id
AttractionService:2594:ko,AttractionService:2594:zht,zht,100,high,0,초량 이바구길,伴隨故事前行的道路，草梁故事街,same_id
AttractionService:2598:ko,AttractionService:2598:zht,zht,100,high,0,고려제강기념관,從「鋼絲」開始的故事，走入「高麗製鋼紀念館」,same_id
AttractionService:2612:ko,AttractionService:2612:zht,zht,100,high,0,회동수원지,走進城市中的湖畔散步路，回東水源地環湖步道,same_id
AttractionService:2678:ko,AttractionService:2678:zht,zht,100,high,0,리틀 프린스 하우스,坐落於甘川文化村的「小王子之家」,same_id
FoodService:70:ko,FoodService:70:zht,zht,100,high,0,만드리곤드레밥,萬德山薊菜飯 (만드리곤드레밥),same_id
FoodService:77:ko,FoodService:77:zht,zht,100,high,0,민물가든,淡水花園 (민물가든),same_id
FoodService:94:ko,FoodService:94:zht,zht,100,high,0,가야할매밀면,伽倻奶奶蕎麥麵,same_id
FoodService:95:ko,FoodService:95:zht,zht,100,high,0,국제밀면본점,國際小麥麵總店 (국제밀면본점),same_id
FoodService:102:ko,FoodService:102:zht,zht,100,high,0,할매가야밀면,伽耶小麥麵 (가야밀면),same_id
FoodService:103:ko,FoodService:103:zht,zht,100,high,0,거인통닭,達人巨人炸雞,same_id
FoodService:118:ko,FoodService:118:zht,zht,100,high,0,부산꼼장어맛집 성일집,釜山鰻魚成一家,same_id
FoodService:130:ko,FoodService:130:zht,zht,100,high,0,배비장보쌈구서본점,Bae Bijang 菜包肉 久瑞店 (배비장보쌈),same_id
FoodService:138:ko,FoodService:138:zht,zht,100,high,0,장수장 꼬리곰탕,長壽牛尾湯 (장수장꼬리곰탕),same_id
FoodService:146:ko,FoodService:146:zht,zht,100,high,0,금수복국 해운대본점,錦繡福國總店 (금수복국),same_id
FoodService:152:ko,FoodService:152:zht,zht,100,high,0,다온 한정식,DaOn (다온),same_id
FoodService:164:ko,FoodService:164:zht,zht,100,high,0,할매재첩국집,奶奶河蜆湯 (할매재첩국),same_id
FoodService:166:ko,FoodService:166:zht,zht,100,high,0,예이제,韓定食 （YEYIJE),same_id
FoodService:167:ko,FoodService:167:zht,zht,100,high,0,합천일류돼지국밥,陜川一流豬肉湯飯 (합천일류돼지국밥),same_id
FoodService:169:ko,FoodService:169:zht,zht,100,high,0,원조석대추어탕,元祖石坮泥鰍湯 (원조석대추어탕),same_id
FoodService:190:ko,FoodService:190:zht,zht,100,high,0,할매복국,奶奶河豚湯 (할매복국),same_id
FoodService:198:ko,FoodService:198:zht,zht,100,high,0,신창국밥 본점,新昌湯飯 (신창국밥),same_id
FoodService:201:ko,FoodService:201:zht,zht,100,high,0,평안도족발,平安道豬蹄 (평안도족발),same_id
FoodService:203:ko,FoodService:203:zht,zht,100,high,0,한우숯불양곱창,韓牛碳烤羊肥腸 (한우숯불양곱창),same_id
FoodService:212:ko,FoodService:212:zht,zht,100,high,0,베지나랑,Vegenarang (베지나랑),same_id
FoodService:234:ko,FoodService:234:zht,zht,100,high,0,석화한정식,石花韓定食 (석화한정식),same_id
FoodService:235:ko,FoodService:235:zht,zht,100,high,0,내당,內堂 (내당),same_id
FoodService:239:ko,FoodService:239:zht,zht,100,high,0,봉식당,峰餐廳 (봉식당),same_id
FoodService:246:ko,FoodService:246:zht,zht,100,high,0,60년 전통 할매국밥,60年傳統 奶奶湯飯 (60년 전통 할매국밥),same_id
FoodService:252:ko,FoodService:252:zht,zht,100,high,0,함경면옥, 咸鏡面屋 (함경면옥),same_id
FoodService:576:ko,FoodService:576:zht,zht,100,high,0,왔다식당,來了餐館 (왔다식당),same_id
FoodService:872:ko,FoodService:872:zht,zht,100,high,0,구포촌국수,龟浦村面条 ,same_id
